Iter:1, Accuracy: 0.509, InvokeTime:10.776691496372223,  aggTime: 19.180026173591614, Time: 145.1477842926979, Training Time: 115.17856662276806
Iter:2, Accuracy: 0.850, InvokeTime:11.285722017288208,  aggTime: 13.67518401145935, Time: 108.77910900115967, Training Time: 83.81820297241211
Iter:3, Accuracy: 0.848, InvokeTime:11.096679210662842,  aggTime: 14.523717164993286, Time: 106.38381123542786, Training Time: 80.76341485977173
Iter:4, Accuracy: 0.904, InvokeTime:11.214010953903198,  aggTime: 13.261425971984863, total Time: 88.27905201911926, Training Time: 63.8036150932312           
Iter:5, Accuracy: 0.788, InvokeTime:10.828872203826904,  aggTime: 13.927763938903809, total Time: 83.45910596847534, Training Time: 58.70246982574463           
Iter:6, Accuracy: 0.780, InvokeTime:10.570986986160278,  aggTime: 15.65008282661438, total Time: 70.75783491134644, Training Time: 44.53676509857178           
Iter:7, Accuracy: 0.790, InvokeTime:10.931993007659912,  aggTime: 13.474111080169678, total Time: 73.41832399368286, Training Time: 49.01221990585327          
Iter:8, Accuracy: 0.814, InvokeTime:10.613444089889526,  aggTime: 13.418596267700195, total Time: 64.92570328712463, Training Time: 40.89366292953491           
Iter:9, Accuracy: 0.834, InvokeTime:10.88008999824524,  aggTime: 13.811751127243042, total Time: 62.197652101516724, Training Time: 37.50581097602844           
Iter:10, Accuracy: 0.892, InvokeTime:10.985204935073853,  aggTime: 13.952574968338013, total Time: 61.21884489059448, Training Time: 36.28106498718262          
Iter:11, Accuracy: 0.920, InvokeTime:10.619355201721191,  aggTime: 13.897323846817017, total Time: 52.91591286659241, Training Time: 28.3992338180542          
Iter:12, Accuracy: 0.957, InvokeTime:10.689343929290771,  aggTime: 13.150343894958496, total Time: 57.95781183242798, Training Time: 34.11812400817871           
Iter:13, Accuracy: 0.952, InvokeTime:10.373481035232544,  aggTime: 13.293198108673096, total Time: 55.501986026763916, Training Time: 31.835306882858276          
Iter:14, Accuracy: 0.964, InvokeTime:10.471730947494507,  aggTime: 13.254906177520752, total Time: 43.05424880981445, Training Time: 19.327611684799194          
Iter:15, Accuracy: 0.944, InvokeTime:10.372868776321411,  aggTime: 13.755933046340942, total Time: 50.435981035232544, Training Time: 26.30717921257019          
Iter:16, Accuracy: 0.962, InvokeTime:12.203736782073975,  aggTime: 13.593909978866577, total Time: 44.714519739151, Training Time: 18.91687297821045          
Iter:17, Accuracy: 0.952, InvokeTime:10.48692011833191,  aggTime: 13.822935819625854, total Time: 45.802037954330444, Training Time: 21.49218201637268          
Iter:18, Accuracy: 0.966, InvokeTime:10.368120193481445,  aggTime: 13.921231746673584, total Time: 51.6802818775177, Training Time: 27.39092993736267         
Iter:19, Accuracy: 0.955, InvokeTime:10.48407793045044,  aggTime: 14.16787600517273, total Time: 46.41940999031067, Training Time: 21.7674560546875          
Iter:20, Accuracy: 0.972, InvokeTime:10.669938325881958,  aggTime: 14.22203803062439, total Time: 42.60139322280884, Training Time: 17.70941686630249          
Iter:21, Accuracy: 0.958, InvokeTime:10.714240074157715,  aggTime: 14.201432943344116, total Time: 45.773411989212036, Training Time: 20.857738971710205          
Iter:22, Accuracy: 0.972, InvokeTime:10.515357255935669,  aggTime: 14.06715989112854, total Time: 55.041622161865234, Training Time: 30.459105014801025         
Iter:23, Accuracy: 0.965, InvokeTime:10.701295137405396,  aggTime: 14.202669858932495, total Time: 62.000773906707764, Training Time: 37.09680891036987         
Iter:24, Accuracy: 0.974, InvokeTime:10.899526119232178,  aggTime: 13.269256830215454, total Time: 53.49765396118164, Training Time: 29.32887101173401          
Iter:25, Accuracy: 0.965, InvokeTime:10.674488067626953,  aggTime: 13.569042921066284, total Time: 54.53456091880798, Training Time: 30.291029930114746          
Iter:26, Accuracy: 0.977, InvokeTime:10.776165246963501,  aggTime: 13.321716785430908, total Time: 57.95841407775879, Training Time: 33.86053204536438          
Iter:27, Accuracy: 0.970, InvokeTime:10.671406030654907,  aggTime: 13.295035123825073, total Time: 72.66154599189758, Training Time: 48.6951048374176          
Iter:28, Accuracy: 0.982, InvokeTime:10.554190635681152,  aggTime: 13.592375755310059, total Time: 57.693806648254395, Training Time: 33.547240257263184          
Iter:29, Accuracy: 0.975, InvokeTime:10.64565920829773,  aggTime: 13.321485042572021, total Time: 52.431761264801025, Training Time: 28.464617013931274         
Iter:31, Accuracy: 0.985, InvokeTime:10.605867862701416,  aggTime: 13.39830493927002, total Time: 67.06867289543152, Training Time: 43.06450009346008          
Iter:32, Accuracy: 0.978, InvokeTime:11.117537021636963,  aggTime: 13.336451053619385, total Time: 85.81173419952393, Training Time: 61.35774612426758         
